,value
537,2.760327942187373
538,0.9271255203307167
539,3.058585206026123
540,1.937410286164889
541,3.3123291114446163
542,2.8053132877641405
543,4.927986352945352
544,2.2414205072829176
545,4.627659569894771
546,3.382039715092957
547,3.0444802443932355
548,2.1960817458685487
549,3.4573891999795476
550,2.3775066023438267
551,3.036190229703533
552,1.6540924399353107
553,3.3509878680385716
554,2.1899849283120445
555,1.7843341311076921
556,2.3215460116974245
557,1.88355034612548
558,2.4430631765951762
559,0.9683553068895897
560,2.4608201496078634
561,2.6797741840660096
562,2.5776974825489765
563,2.5275829700035226
564,2.915931793092304
565,2.0024859671165536
566,2.8996663592364453
567,1.211691272229048
568,2.922913739019231
569,1.0207594429076285
570,1.8556994350495832
571,3.782592623164348
572,3.5624262950678536
573,1.7874412720957216
574,3.8662306922026755
575,2.5662186426463514
576,3.865528325362134
577,3.6370498364224844
578,3.7055909668374802
579,3.8039155148930686
580,2.581250986159096
581,4.126158933596935
582,2.3496058467829037
583,4.246741332845285
584,4.239524505360013
585,4.333877537150296
586,3.7814909538759753
587,1.7409975504731554
588,3.9991265645090595
589,1.3600822919064168
590,3.858117962115039
591,1.4261421754767314
592,3.3374036918404686
593,2.2364102185934422
594,2.283586065419867
595,2.8763278895428384
596,1.300246594523328
597,3.389065534143368
598,3.480871571005172
599,1.109563558393477
600,2.606474429438123
601,0.5939485739496116
602,2.909527417547896
603,1.0521586732056578
604,3.7937115295590793
605,3.605879049061144
606,1.9754858579796777
607,3.4119510268466637
608,2.3453817647647854
609,2.817511032444382
610,2.3848608524303905
611,2.621091703832445
612,2.6128236351788616
613,1.9655358210614855
614,2.030629335792851
615,2.277906938360559
616,2.9005939319883645
617,2.7151260872019494
618,0.9375904000142569
619,2.861912310250723
620,3.0384476545636083
621,1.595612939717277
622,2.6049935846479544
623,2.18125187751086
624,2.5026218037160097
625,2.9641676578926335
626,1.8365723729061767
627,3.1008108262908696
628,1.5228259728242566
629,3.382833711601452
630,3.269783109440603
631,1.8322093722021058
632,2.2660649918799467
633,2.426348561610461
634,1.974030191495578
635,2.6864034381791284
636,0.7311960824728729
637,2.617240975555292
638,2.671030218860096
639,0.8784958819151559
640,1.11337218348374
641,3.6208128831465567
642,0.7593982066272781
643,3.341240658415213
644,2.461277868370594
645,2.2884051676165678
646,2.8171314032216013
647,2.25986967996928
648,2.957578475941067
649,3.355010097663723
650,3.744572088895657
651,3.9003815944510487
652,3.0274201862324843
653,4.0347017294733325
654,2.5905575819219266
655,4.22571783836807
656,2.1931644874347405
657,4.51878022438264
658,4.3424407734581845
659,2.0533576578767354
660,3.9757633550618277
661,2.2949567167372615
662,3.6486579404597066
663,2.763880648550446
664,3.055768055856688
665,2.8220728337636887
666,2.1271210297711987
667,2.9965323069603302
668,1.6689076076884128
669,3.0418212871852814
670,3.1425874811350103
671,2.3070982935486883
672,2.4066159037963826
673,1.7705822696343236
674,2.5671558159484893
675,1.4014094700537414
676,3.0202914858996133
677,2.9155774555482648
678,3.1213813444180802
679,2.0433014801563862
680,3.1274226871200757
681,2.169101986428577
682,3.2767436075066305
683,0.7307428529909772
684,3.0122795700380736
685,0.9807245070385688
686,3.550155088467087
687,2.396271162379621
688,1.4404164197311677
689,2.0350380501520764
690,1.4835053397070959
691,1.4377407898200019
692,1.8370300904042811
693,1.5991627291593458
694,1.932982458566641
695,0.926201878606977
696,2.066326583915653
697,0.9098378055153087
698,2.152846269993097
699,2.097623233331018
700,2.277228568500689
701,1.704667205953076
702,2.2689775826659826
703,2.5950382026812777
704,0.9400902008423563
705,2.578283265009295
706,1.3524787733338348
707,2.3604119846747214
708,1.5345268904410303
709,2.3591100122712816
710,2.7686945936502703
711,2.513523565084315
712,2.899620145716872
713,3.6304545233043415
714,2.770679264029992
715,1.297906609215182
716,2.7214631255808435
717,1.8095083207849956
718,2.676027779230567
719,3.248552564651373
720,2.674149864115634
721,3.46887908107822
722,1.662722995903795
723,3.5717756724532217
724,3.294498175841806
725,1.4567051688021042
726,3.382613702642762
727,2.6312653573042235
728,2.8659257805677703
729,2.628585380782641
730,2.107739800685531
731,2.972008177571189
732,1.6030763511377848
733,3.212809828035294
734,3.2323799746248763
735,1.0644491876834616
736,3.397909921402902
737,1.696983651497712
738,3.4001592687526596
739,1.4702387089017992
740,2.667738294280033
741,1.735520835138636
742,3.8774375580881753
743,2.0904081930865073
744,3.926779498344876
745,1.8127990525787663
746,3.249463613806018
747,1.7662890659828512
748,3.2241550930132648
749,1.1886581716569165
750,2.506662046974872
751,1.8003766612532979
752,3.7174431638512213
753,1.8822841853208125
754,3.493493232016125
755,2.334932841445282
756,3.1832380530007223
757,2.116783171682589
758,2.7513250156321805
759,2.8536860161588864
760,2.603094772009048
761,2.234879786467869
762,2.0209256655209877
763,2.482369439051495
764,2.0246289803212414
765,2.7634727236369585
766,1.8294666099791455
767,3.253708462129909
768,4.403947448124256
769,1.7744185446735838
770,4.376301910673244
771,1.7892840635372238
772,3.969568152460072
773,3.0592967920533622
774,3.6770598019426393
775,2.2060162536010948
776,3.6938674068074384
777,1.614832835800971
778,3.611107746016093
779,2.946557068564508
780,1.8673521851491781
781,3.378011966900629
782,2.263223920023348
783,2.753067368819352
784,2.021258222956546
785,2.8556242050291587
786,1.739715327107814
787,2.7945851382032463
788,2.795443191416574
789,1.3489176839578756
790,2.757526508599631
791,2.0984614790433698
792,2.273115737710981
793,2.3907072344579174
794,2.0661565655514686
795,2.356634466908585
796,1.638306706525905
797,2.842585297135991
798,1.58765257704149
799,2.879168085825374
800,1.0203398322239448
801,3.123208559815537
802,0.9230369400818396
803,2.8858136947461204
804,0.7902410169379985
805,3.020265200727274
806,1.3940631765951759
807,1.9457890083114722
808,3.711773736736502
809,2.6185168749179493
810,3.0905675402165347
811,3.859311059659551
812,3.49019881563862
813,2.524250590141562
814,3.3265928609019104
815,2.741215190231191
816,2.530715143628206
817,3.2097531292750685
818,2.1694841285999873
819,4.033942523375291
820,3.184253556467458
821,3.3443246826595385
822,3.201787271169902
823,2.611535951262807
824,3.1174796943292282
825,2.237803222582006
826,1.9141337733923047
827,2.007558470143393
828,2.3486066833509147
829,2.406271777903261
830,1.3528477796855551
831,2.1604803594455464
832,1.3296916408341808
833,2.622157210639311
834,1.230376847185339
835,2.4979441556219655
836,1.1930648471726801
837,2.4553513577505823
838,1.743066543543058
839,1.704906837785277
840,3.5511949591597114
841,3.8191069192803666
842,1.4351415881940428
843,1.9451536381555983
844,3.228505059335818
845,2.203033426207548
846,3.0614886204587393
847,1.4612550292506024
848,1.7373967531664092
849,3.095604359434586
850,1.4241201744398917
851,3.147336690052927
852,2.9333612306306636
853,1.7602559811408565
854,2.9292351591078223
855,2.37846750674892
856,3.1894035337308098
857,3.6517704071049994
858,3.011039598519134
859,3.9793192808671964
860,2.138250874320762
861,4.13624927723697
862,3.8960640192618765
863,1.7608087091474713
864,3.93870006012203
865,2.5501499456119934
866,3.48727600975307
867,2.711201937971857
868,3.089761315964824
869,3.3296411980555165
870,2.5794783489132
871,3.4253022197026453
872,2.001048612750541
873,3.737120877385057
874,1.8589332686986566
875,4.324985676816599
876,5.024365547562915
877,2.5269596491640924
878,4.971256803665199
